County,Population,Votes,Dem_votes,GOP_votes,Partisan_votes,p_gop,density,district
Brown,273909,149333,67937,79132,147069,0.53806,410.4,1
Clark,34801,15340,4509,10481,14990,0.699199,28.4,1
Vernon,31351,16609,7514,8807,16321,0.539612,36.9,1
Trempealeau,30801,16079,6219,9661,15880,0.608375,39.5,1
Door,30512,20944,10565,10099,20664,0.488724,11.7,1
Lincoln,28461,17209,6306,10633,16939,0.627723,31.5,1
Juneau,26590,14553,4854,9525,14379,0.662424,33.1,1
Waushara,25079,14363,4571,9625,14196,0.678008,38.3,1
Iowa,23963,14677,7750,6631,14381,0.461095,30.9,1
Vilas,23948,16135,6119,9837,15956,0.616508,21,1
Adams,21352,12882,4443,7763,12206,0.635999,29.9,1
Jackson,21027,10502,4157,6204,10361,0.598784,20.5,1
Kewaunee,20751,12484,4059,8267,12326,0.670696,18.9,1
Taylor,20167,11186,2823,8209,11032,0.744108,20.9,1
Langlade,19535,11664,3746,7782,11528,0.675052,22.2,1
Green Lake,19370,11052,3449,7458,10907,0.683781,50,1
Sawyer,18835,11140,4599,6422,11021,0.582706,73.9,1
Lafayette,17306,8832,3469,5256,8725,0.602407,26.5,1
Burnett,17187,10810,3665,7008,10673,0.65661,17.5,1
Richland,17123,9323,3985,5207,9192,0.566471,30.3,1
Washburn,16982,10978,3867,6962,10829,0.642903,18.5,1
Bayfield,16838,11240,6107,4860,10967,0.443148,7.4,1
Ashland,16196,8955,4612,4191,8803,0.476088,7,1
Crawford,16008,9105,3860,5113,8973,0.569821,27.6,1
Marquette,15743,9427,3252,6041,9293,0.650059,32.8,1
Rusk,14168,8270,2516,5660,8176,0.69227,15.5,1
Price,14087,8856,3005,5763,8768,0.657276,10.9,1
Buffalo,13464,8100,2765,5213,7978,0.653422,18.8,1
Forest,9506,5097,1681,3382,5063,0.667983,8.8,1
Pepin,7555,4354,1523,2798,4321,0.647535,29.7,1
Iron,6235,4084,1487,2557,4044,0.632295,6.4,1
Florence,4673,3158,783,2356,3139,0.750558,9,1
Menominee,4286,1572,1266,296,1562,0.189501,12,1
Sauk,66486,37584,18172,18798,36970,0.508466,116.1,2
Columbia,58113,34914,16388,17988,34376,0.523272,71.2,2
Grant,52330,27306,10966,15922,26888,0.59216,43.3,2
Barron,46810,26809,8941,16726,25667,0.651654,51.4,2
Monroe,46370,23369,8476,14563,23039,0.632102,49.7,2
Dunn,46135,25678,10643,14726,25369,0.580472,51,2
Polk,45831,28222,9567,18296,27863,0.656641,45.7,2
Douglas,44276,25234,13073,11732,24805,0.472969,29.7,2
Pierce,43380,25392,10171,14417,24588,0.586343,69,2
Marinette,42343,24415,7415,16670,24085,0.692132,26.8,2
Shawano,41299,23500,7336,15850,23186,0.683602,12.2,2
Oconto,40037,24912,6967,17675,24642,0.717271,32.6,2
Oneida,38175,24895,10080,14455,24535,0.589158,28.9,2
Green,37183,22076,10903,10843,21746,0.49862,63.3,2
La Crosse,121060,72261,39008,32247,71255,0.452558,242.7,3
Eau Claire,108830,63177,34400,27728,62128,0.446304,155.9,3
Jefferson,86245,50146,20574,28771,49345,0.583058,144.5,3
Manitowoc,81513,46316,17399,28200,45599,0.618435,54.1,3
Wood,73943,42216,16599,24997,41596,0.600947,91.7,3
Portage,72040,43258,21503,20987,42490,0.493928,85.5,3
Chippewa,67323,38471,14573,23399,37972,0.616217,60.6,3
Calumet,53602,32916,12927,19488,32415,0.601203,124.7,3
Waupaca,51171,30403,9947,20093,30040,0.668875,68.2,3
Sheboygan,118331,67562,27735,38763,66498,0.58292,45.8,4
Walworth,106029,60597,23161,36603,59764,0.612459,178.5,4
Fond du Lac,104269,58527,20495,37272,57767,0.645213,132.8,4
St. Croix,97954,60642,23870,35537,59407,0.598195,90.6,4
Ozaukee,93956,63472,27874,34504,62378,0.553144,77.9,4
Dodge,88635,50300,16518,33067,49585,0.666875,97.7,4
Winnebago,173307,95371,44660,49179,93839,0.524078,291.1,5
Kenosha,168754,90680,41826,47478,89304,0.531645,221.8,5
Rock,165461,88310,46642,40218,86860,0.463021,221,5
Marathon,139091,78826,31529,46213,77742,0.594441,85.6,5
Dane,588347,365929,273995,85454,359449,0.237736,406.2,6
Outagamie,195390,111932,49438,60827,110265,0.551644,277.9,6
Washington,138727,91407,28504,61604,90108,0.683668,304.2,6
Waukesha,417029,275787,108478,162768,271246,0.600075,676,7
Racine,198651,107686,49721,56347,106068,0.531235,246.2,7
Milwaukee,924740,464107,316292,138022,454314,0.303803,801.5,8